DATAFLOW,MEASURE,VALUE,SECTOR,WORK_TYPE,BUILDING_TYPE,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1996-08,11209,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1996-09,10018,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1996-10,11611,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1996-11,10818,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1996-12,9665,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1997-01,9898,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1997-02,10813,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1997-03,10805,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1997-04,12243,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1997-05,13396,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1997-06,10901,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1997-07,12648,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1997-08,12971,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1997-09,12909,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1997-10,12487,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1997-11,12871,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1997-12,12327,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1998-01,10773,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1998-02,11236,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1998-03,13711,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1998-04,13640,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1998-05,13458,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1998-06,14018,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1998-07,14124,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1998-08,12284,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1998-09,12741,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1998-10,12356,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1998-11,13179,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1998-12,12466,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1999-01,9964,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1999-02,12545,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1999-03,13619,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1999-04,12276,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1999-05,13730,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1999-06,14408,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1999-07,14715,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1999-08,15358,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1999-09,15256,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1999-10,14439,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1999-11,16254,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1999-12,15023,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,2000-01,13455,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,2000-02,16477,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,2000-03,15515,NUM,0,,
