DATAFLOW,MEASURE,VALUE,SECTOR,WORK_TYPE,BUILDING_TYPE,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT,MEASURE_NAME,VALUE_NAME,TSEST_NAME,FREQ_NAME,OBS_STATUS_NAME,UNIT_MEASURE_NAME,UNIT_MULT_NAME
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1995-12,393389,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1996-01,467663,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1996-02,517983,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1996-03,457246,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1996-04,476653,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1996-05,666781,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1996-06,506600,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1996-07,629712,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1996-08,533482,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1996-09,578874,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1996-10,1003413,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1996-11,1190661,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1996-12,747361,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1997-01,604252,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
